DocLabel,Speaker Label,Displayed Speaker Name,Full Speaker Name,First Turn,RangeFrom,RangeTo,Notes,,,,
ls040-1,A,Daniel,Daniel Friedman,,,,Adobe and Whisper often split Chris’s turns. Align by timestamp and inspection.,,,,
ls040-1,B,Bleu,Bleu Knight,0,0,0,0,,,,
ls040-1,C,Chris,Chris Fields,0,0,0,0,,,,
ls040-1,D,Karl,Karl J Friston,0,0,0,0,,,,
ls040-1,E,James,James F Glazebrook,0,0,0,0,,,,
ls040-1,F,Stephen,Stephen Sillett,0,0,0,0,,,,
ls040-2,A,Daniel,Daniel Friedman,,,,,,,,
ls040-2,B,Dean,Dean Tickles,0,0,0,0,,,,
ls040-2,C,Bleu,Bleu Knight,0,0,0,0,,,,
ls040-2,D,Michael,Michael Levin,,,,,,,,
ls040-2,E,Karl,Karl J Friston,,,,,,,,
ls040-2,F,Chris,Chris Fields,,,,,,,,
ls040-2,G,Stephen,Stephen Sillett,,,,,,,,
ls041-0,A,Daniel,Daniel Friedman,00:29,,,A @ 00:29,,,,
ls041-0,B,Deam,Dean Tickles,03:23,,,B @ 03:40,,,,
ls041-1,A,Daniel,Daniel Friedman,,,,A @ 00:27,,,,
ls041-1,B,Dean,Dean Tickles,,,,B @ 02:17,,,,
ls041-1,C,Bleu,Bleu Knight,,,,C @ 02:40,,,,
ls041-2,A,Daniel,Daniel Friedman,,,,A @ 00:26,,,,
ls041-2,B,Dean,Dean Tickles,,,,B @ 00:38,,,,
ls041-2,C,Bleu,Bleu Knight,,,,C @ 03:10,,,,
ls042-0,A,Daniel,Daniel Friedman,00:26,,,A @ 00:27,,,,
ls042-0,B,Sid,Siddhant Shrivastava,02:41,,,B @ 02:43,,,,
ls042-1,A,Daniel,Daniel Friedman,,,,A @ 00:00,,,,
ls042-1,B,Bleu,Bleu Knight,,,,C @ 01:24,,,,
ls042-1,C,Adam,Adam Safron,,,,D @ 02:13,,,,
ls042-1,D,Tim,Tim Verbelen,,,,,,,,
ls042-1,,,,,,,B @ 15:53,,,,
ls042-1,,,,,,,E @ 53:15,,,,
ls042-2,A,Daniel,Daniel Friedman,00:28,,,A @ 00:28,,,,
ls042-2,B,Bleu,Bleu Knight,01:52,,,B @ 01:59,,,,
ls042-2,C,Tim,Tim Verbelen,02:05,,,C @ 03:15,,,,
ls043-0,A,Daniel,Daniel Friedman,00:26,,,A @ 00:26,,,,
ls043-0,B,Maria,Maria Vasconsuelos,,,,B @ 03:21,,,,
ls043-0,C,Daniel,,,,(none),(none),,,,
ls043-1,A,Daniel,Daniel Friedman,00:29,,,A @ 00:30,,,,
ls043-1,B,Bleu,Bleu Knight,02:38,,,B @ 02:41,,,,
ls043-2,A,Daniel,Daniel Friedman,00:28,,,A @ 00:28,,,,
ls043-2,B,Dean,Dean Tickles,02:59,,,B @ 02:59,,,,
ls043-2,C,Stephen,Stephen Sillett,03:48,,,C @ 03:48,,,,
ls044-0,A,Daniel,Daniel Friedman,00:30,,,A @ 00:30,,,,
ls044-0,B,Ian,Ian Tennant,02:36,,,B @ 03:04,,,,
ls044-1,A,Daniel,Daniel Friedman,,,,A @ 00:32,,,,
ls044-1,B,Ian,Ian Tennant,,,,B @ 02:49,,,,
ls044-1,C,Jorge,Jorge E Esteves,,,,C @ 03:58,,,,
ls044-1,D,Francesco,Francesco Cerritelli,,,,D @ 05:03,,,,
ls044-1,E,Zoe,Zoe McParlin,,,,E @ 06:44,,,,
ls044-2,A,Daniel,Daniel Friedman,,,,A @ 00:28,,,,
ls044-2,B,Ian,Ian Tennant,,,,B @ 02:47,,,,
ls044-2,C,Jorge,Jorge E Esteves,,,,C @ 03:38,,,,
ls044-2,D,Zoe,Zoe McParlin,,,,D @ 05:23,,,,
ls044-2,E,Bleu,Bleu Knight,,,,E @ 28:15,,,,
ls045-0,A,Daniel,Daniel Friedman,,,,A @ 00:25,,,,
ls045-0,B,Brock,Brock McKean,,,,B @ 02:41,,,,
ls045-1,A,Daniel,Daniel Friedman,,,,A @ 00:27,,,,
ls045-1,B,Bleu,Bleu Knight,,,,B @ 00:37,,,,
ls045-1,C,Karl,Karl J Friston,,,,C @ 02:37,,,,
ls045-1,D,Thomas,Thomas Parr,,,,D @ 30:36,,,,
ls045-2,A,Daniel,Daniel Friedman,,,,A @ 00:28,,,,
ls045-2,B,Bleu,Bleu Knight,,,,B @ 00:34,,,,
ls045-2,C,Karl,Karl J Friston,,,,C @ 02:22,,,,
ls045-2,D,Thomas,Thomas Parr,,,,D @ 19:06,,,,
ls046-0,A,Daniel,Daniel Friedman,,,,A @ 00:12,,,,
ls046-0,B,Dean,Dean Tickles,,,,B @ 02:38,,,,
ls046-0,C,Jakub,Jakub Smékal,,,,C @ 03:48,,,,
ls046-0,D,Daniel,Daniel Friedman,,,,D @ 04:37,,,,
ls046-1,A,Daniel,Daniel Friedman,,,,A @ 00:28,,,,
ls046-1,B,Ali,Ali Rahmjoo,,,,B @ 03:04,,,,
ls046-1,C,Dean,Dean Tickles,,,,C @ 03:53,,,,
ls046-1,D,David,David Calton,,,,D @ 05:01,,,,
ls046-1,E,Alex,Alex Kiefer,,,,E @ 06:21,,,,
ls046-2,A,Daniel,Daniel Friedman,,,,A @ 00:29,,,,
ls046-2,B,Dean,Dean Tickles,,,,B @ 03:16,,,,
